arrivals,throughput,mean_wait_minutes,p90_wait_minutes,urgent_mean_wait_minutes,utilization_proxy,scenario,replication,wait_cost
112,111,18.606524808915108,44.512684080298435,14.401613017860084,0.946695178887654,Usual triage,0,1910.2698803819512
115,109,10.759986964189489,27.38322836315307,7.473243770342214,0.9096549157726527,Usual triage,1,1134.281959141642
107,93,32.53434811982715,113.42444696664474,21.186733408113618,0.8628107547365558,Usual triage,2,3191.077311419713
95,90,9.961356673027943,28.55049580627756,4.412458596078972,0.8758719364621542,Usual triage,3,867.4681436095168
89,85,8.510787348280754,24.728944635027258,5.932104946580299,0.7270176753963663,Usual triage,4,694.3384011639048
103,96,27.780930441938477,55.15285915571921,21.09135702638934,0.8852478414054344,Usual triage,5,2622.9828492263578
101,95,10.115626250417705,39.69396308436342,1.9763312504632757,0.812793472399232,Usual triage,6,936.5383970178392
105,100,16.750579066916735,42.04917962194514,15.224649544871886,0.8550939779660219,Usual triage,7,1612.2432351907357
107,80,60.162945878003256,183.92614037642608,62.871248758834184,0.8567419652032091,Usual triage,8,5900.982274867485
107,97,52.582525786105876,130.07293245243318,32.668916842966,0.9852427747838267,Usual triage,9,5157.469404187218
83,80,3.979343281508929,15.717464708165128,0.96518974274486,0.8052867739382399,Usual triage,10,302.76170133480434
103,79,113.53242913125456,260.16827590422776,64.15371362337608,0.9238897643923186,Usual triage,11,10719.35351714262
102,95,12.919186860950651,41.292930667619146,10.729137499410593,0.860996352103294,Usual triage,12,1207.943971498886
96,93,19.779951803493237,76.3037769784599,9.729196386682137,0.8024386320120863,Usual triage,13,1740.6357587074049
105,93,17.728269392615577,62.073652965399404,5.936271642080202,0.8033698444173193,Usual triage,14,1706.3459290392493
100,93,3.392064672322152,15.593470075485447,2.636065512779848,0.6960310750203595,Usual triage,15,310.9392616295306
113,93,44.22206293758541,177.72221609775184,10.028510419281758,0.8551594500318015,Usual triage,16,4580.668685951557
107,94,37.27689644318041,107.01859993345788,15.327731059417195,0.7963013175488755,Usual triage,17,3656.242259468612
98,98,10.115928042009166,29.294058312711577,7.399073485714465,0.7498457121041999,Usual triage,18,908.7475357738233
109,98,15.10330883936146,47.79834036171394,6.963998980452255,0.8659474274399004,Usual triage,19,1509.0722748661992
102,90,24.184605285093415,74.98341709316162,18.935844043093724,0.8774258856629973,Usual triage,20,2261.260594156234
125,108,71.63177321293384,169.05345099883874,31.755884276914703,0.9773772811602811,Usual triage,21,8207.807347315334
107,92,16.31234474622128,64.29910557895269,7.606025089193748,0.8424848997543547,Usual triage,22,1599.969147191871
97,97,22.360036176141342,63.773054572183646,12.723875126404863,0.8472584045249093,Usual triage,23,1988.1798833285677
115,96,37.218419977166434,116.61463929767928,20.669650824396815,0.8105453904747756,Usual triage,24,3923.441772592962
93,93,18.84545510119395,47.68363699854858,14.329092637314549,0.8550286788737419,Usual triage,25,1606.5750473767841
117,102,46.728096851504155,111.275553256802,24.481555092026568,0.9446867517862819,Usual triage,26,5011.58838732382
114,107,29.03609956156227,104.57945064283057,12.049057178524976,0.9076976417863214,Usual triage,27,3034.2724041832575
103,88,20.966548975267127,58.70355154056696,16.867156289823907,0.905187153311402,Usual triage,28,1979.5916657481382
105,86,47.27439902289822,138.70901922520716,34.426902432549575,0.9127938412280477,Usual triage,29,4550.160905953954
83,73,12.263601053800475,41.32633486194551,11.4240073268181,0.6276610719989412,Usual triage,30,933.0556468433194
105,90,24.94018030048956,76.33379261003371,17.05557569422063,0.7563586804454976,Usual triage,31,2400.49235392212
102,99,11.015227248364132,30.771869352351743,6.292584708221759,0.9384235371682326,Usual triage,32,1029.9237477220463
114,93,38.92523431390031,139.2954240046863,14.44950204045264,0.782908736841444,Usual triage,33,4067.6869858025825
98,94,19.509982121266855,54.79130215432454,7.886107923418007,0.8838116312850599,Usual triage,34,1752.6467272271393
100,92,55.42804628906122,117.82263194714955,34.33285099633816,0.9476245001543726,Usual triage,35,5080.9042431639455
113,104,8.337494837742112,22.839292850058026,5.885167546878796,0.8481965918293999,Usual triage,36,863.6255069427871
100,99,39.111888041066614,115.59096103215344,8.387851031274824,0.8713059239281701,Usual triage,37,3585.2564037644393
107,107,9.323194646624636,23.565640006785824,6.497139348505208,0.8591907820310088,Usual triage,38,914.450008256433
101,91,12.19170512538746,43.65744856962158,9.74725227271246,0.8480726170443458,Usual triage,39,1128.7486995254555
98,91,11.646646535815961,37.20921366754774,9.76932045371069,0.7488755165091564,Usual triage,40,1046.2570804674672
85,82,7.590140359990628,22.403892885530944,6.424530053186992,0.7281946828758685,Usual triage,41,591.3984363826032
117,103,38.78279735586042,103.53852884855745,17.879579194852347,0.9711844216806129,Usual triage,42,4159.455016416029
97,92,12.452946651688926,66.20559289114854,4.730146995102582,0.7319872279828659,Usual triage,43,1107.2745064460069
110,105,28.697775396316068,94.73843800494818,17.537288464696267,0.8843167349101642,Usual triage,44,2893.6923524618705
104,98,17.748018019586297,51.020645115571085,15.715145715764086,0.8458619790046659,Usual triage,45,1691.977717867227
99,95,13.943595930592851,41.48901916088041,12.1258409591512,0.8181119450407013,Usual triage,46,1265.3813307013013
96,91,14.861103728727947,38.44285171905864,5.187715409553566,0.8653018354823566,Usual triage,47,1307.7771281280593
111,98,58.45660710452852,138.46427459410748,25.530808847292054,0.9703046329846694,Usual triage,48,5947.959772885777
111,95,28.635144389060226,95.04575072076238,15.187511190518562,0.9361356126478024,Usual triage,49,2913.625941586878
92,89,5.9727846766224255,25.444732924303203,5.831759647610791,0.6310715858175424,Usual triage,50,503.70484106182454
90,81,12.822668113738235,42.37369661079743,9.400518119715008,0.7850823336715618,Usual triage,51,1057.8701193834045
77,74,8.96585549461622,27.854569392043185,8.116445827179811,0.6838580406952199,Usual triage,52,632.8399669949948
116,84,69.44394545953891,214.09171252192277,16.844581134851175,0.8685265685080855,Usual triage,53,7384.206200530971
110,105,10.576023769391835,36.05994604025835,10.116256458388335,0.8648511367135862,Usual triage,54,1066.4157300803433
94,91,5.011244642149393,15.702691820418975,2.4951010012907817,0.7742923449345664,Usual triage,55,431.802246665206
90,88,8.327622998778923,25.347302085326117,3.4686800985496262,0.7474094498691051,Usual triage,56,687.0288973992612
100,93,27.19642369639298,77.86911662212627,22.8697914182744,0.88774054753222,Usual triage,57,2493.0055055026896
108,82,50.63299953499249,170.5323802823071,17.168542658909836,0.9378769201629353,Usual triage,58,5012.666953964257
83,81,5.756306057089915,14.251739595511184,8.589260613843326,0.7595579929059236,Usual triage,59,437.95895251025775
99,97,8.407768500216802,25.18833245998493,5.27034877320259,0.7770305227390657,Usual triage,60,763.0049913946748
107,95,11.098939757453014,33.375758993831006,6.942931047015579,0.7042364614965927,Usual triage,61,1088.62100787685
106,101,24.793396675892875,74.92182927141869,16.133282398530834,0.9018414535926933,Usual triage,62,2409.0917103409242
91,88,5.234487910367318,18.751687570134152,3.691209250940377,0.8284462979538744,Usual triage,63,436.6435331898071
97,83,22.929940410136584,109.80609549879826,19.401668797584467,0.7915126777040958,Usual triage,64,2038.8538681346447
104,88,16.104722497269265,55.17780586391266,7.018744487772214,0.7814960251692741,Usual triage,65,1535.3168780730032
105,101,14.306706936655077,40.66350823635109,7.179181111751288,0.8488562491098597,Usual triage,66,1377.0205426530513
92,85,4.573773933092524,14.557477487182771,1.384288261862509,0.645797074934809,Usual triage,67,385.7216016908029
97,94,22.463562543675188,62.64873368055831,11.355283500016425,0.8685691746999096,Usual triage,68,1997.3851028417855
104,102,11.12971368609567,34.853522906749646,8.200303339250178,0.8956530122354702,Usual triage,69,1061.0327047411206
108,105,4.595824099054162,17.026008128690595,3.979349665454923,0.7552852672453083,Usual triage,70,454.98658580636203
120,102,66.95901306950294,156.64052798473253,49.23831814601423,0.9503377720731248,Usual triage,71,7365.491437645324
91,85,23.790482683015806,75.63248946741004,18.97764494252138,0.7907089281076736,Usual triage,72,1984.5227638082354
111,97,9.168077996569922,19.733588454638152,8.068700581072063,0.7793527509383886,Usual triage,73,932.8519361509896
97,96,26.06301157968406,76.70461619434715,9.267116361189322,0.8923450998665803,Usual triage,74,2317.436112960241
104,96,34.84057666932757,121.30578565266465,21.997883232560557,0.9288813456778573,Usual triage,75,3321.468309142562
112,107,18.765679564741923,40.205900675953416,15.975904720755802,0.968617992644211,Usual triage,76,1926.6097686468374
107,101,34.162659372219125,101.22779448589914,18.234280852121255,0.9248668848747894,Usual triage,77,3350.787506758493
88,84,9.348647802195849,30.0956709644717,6.009139456225064,0.8225171099186273,Usual triage,78,754.1242560437984
115,99,22.295169084092844,79.80681573557068,10.574566096099915,0.8990687314939586,Usual triage,79,2350.282407614787
104,96,7.391291035899179,29.07254307599905,4.633473582160858,0.7017564121497343,Usual triage,80,704.6364120890549
94,84,14.214257158108184,37.96531130976001,8.060907227423854,0.8002465047645941,Usual triage,81,1224.7951584569885
100,96,21.721020186047927,80.1504424597157,7.521503128812529,0.8691547589713595,Usual triage,82,1991.0935170543933
96,89,14.834474091351211,52.522694616088074,8.72229229749671,0.7396903409291077,Usual triage,83,1305.4337200389066
104,101,4.570383454354253,16.70357623859286,3.205379676241621,0.8179038160278727,Usual triage,84,435.7098893151055
99,93,21.953090045463792,66.04491362738027,17.08063872805228,0.8835068866781313,Usual triage,85,1992.2429216258392
112,93,46.80925914928899,180.65315934967833,22.082200803637075,0.9333790164779512,Usual triage,86,4805.7506059936695
92,82,20.521952067670522,67.22107268014408,4.265819704666279,0.8719009434805962,Usual triage,87,1730.6846243735474
128,105,83.0629479819068,201.77753812721966,10.543767727406706,0.8976524119637042,Usual triage,88,9746.052563210398
105,97,21.092052581895384,51.15588265743438,17.6544901470019,0.9281529141950103,Usual triage,89,2030.1100610074307
107,96,35.29207181349298,113.38092230834216,31.3048321773996,0.9187374155004171,Usual triage,90,3461.56404370677
109,93,54.54573890189473,121.76971619636157,22.74345582544148,0.9396891861748041,Usual triage,91,5450.028411947648
111,101,17.18538589180453,66.26611792586482,13.0536246247099,0.787841267092871,Usual triage,92,1748.6130144911108
85,81,11.011210291727915,39.769142795000995,1.898468892183637,0.7247478032981778,Usual triage,93,857.9568018971333
