threshold,model_net_benefit,treat_all,treat_none,model_best
0.02,0.27662779397473275,0.2735665694849368,0.0,True
0.04,0.26607142857142857,0.25843253968253965,0.0,True
0.06,0.2555724417426545,0.2426545086119554,0.0,True
0.08,0.2452380952380952,0.22619047619047616,0.0,True
0.1,0.23571428571428568,0.20899470899470896,0.0,True
0.12000000000000001,0.22900432900432896,0.19101731601731597,0.0,True
0.13999999999999999,0.222203765227021,0.17220376522702102,0.0,True
0.16,0.21417233560090698,0.1524943310657596,0.0,True
0.18,0.21178861788617886,0.13182346109175377,0.0,True
0.19999999999999998,0.20773809523809522,0.11011904761904762,0.0,True
0.22,0.20549450549450549,0.08730158730158727,0.0,True
0.24,0.20764411027568921,0.06328320802005011,0.0,True
0.26,0.20945945945945943,0.03796653796653793,0.0,True
0.28,0.20939153439153435,0.011243386243386166,0.0,True
0.30000000000000004,0.21870748299319726,-0.01700680272108851,0.0,True
0.32,0.2184873949579832,-0.046918767507002856,0.0,True
0.34,0.2219336219336219,-0.07864357864357874,0.0,True
0.36000000000000004,0.22306547619047618,-0.11235119047619058,0.0,True
0.38,0.2313364055299539,-0.1482334869431644,0.0,True
0.4,0.23492063492063492,-0.18650793650793662,0.0,True
0.42000000000000004,0.24064039408866994,-0.22742200328407236,0.0,True
0.44,0.25051020408163266,-0.2712585034013606,0.0,True
0.46,0.2498236331569665,-0.3183421516754851,0.0,True
0.48000000000000004,0.2402930402930403,-0.3690476190476192,0.0,True
0.5,0.24523809523809526,-0.42380952380952386,0.0,True
0.52,0.2442460317460317,-0.4831349206349208,0.0,True
0.54,0.23923395445134576,-0.5476190476190478,0.0,True
0.56,0.23744588744588746,-0.6179653679653682,0.0,True
0.5800000000000001,0.22766439909297054,-0.6950113378684811,0.0,True
0.6,0.21309523809523812,-0.7797619047619048,0.0,True
0.62,0.20952380952380953,-0.8734335839598998,0.0,True
0.64,0.20238095238095238,-0.9775132275132278,0.0,True
0.66,0.1880952380952381,-1.0938375350140057,0.0,True
0.68,0.17857142857142858,-1.2247023809523814,0.0,True
0.7000000000000001,0.16904761904761906,-1.3730158730158735,0.0,True
0.7200000000000001,0.15476190476190477,-1.542517006802722,0.0,True
0.74,0.14285714285714285,-1.7380952380952381,0.0,True
0.76,0.12857142857142856,-1.9662698412698418,0.0,True
0.78,0.1,-2.2359307359307365,0.0,True
0.8,0.0880952380952381,-2.55952380952381,0.0,True
