date,forecast,lower_95,upper_95
2026-01-01,327.72651559514236,312.11111453246167,343.34191665782305
2026-02-01,345.36451214678266,329.74911108410197,360.97991320946335
2026-03-01,355.73050533679753,340.11510427411685,371.3459063994782
2026-04-01,349.4325025727997,333.817101510119,365.0479036354804
2026-05-01,354.90051289331603,339.28511183063534,370.5159139559967
2026-06-01,342.5104656517456,326.89506458906493,358.1258667144263
2026-07-01,341.2925230982878,325.6771220356071,356.9079241609685
2026-08-01,330.7185144804198,315.1031134177391,346.3339155431005
2026-09-01,328.63652331823124,313.02112225555055,344.25192438091193
2026-10-01,330.32850644793024,314.71310538524955,345.9439075106109
2026-11-01,336.78051118460854,321.16511012192785,352.39591224728923
2026-12-01,347.9005074837614,332.2851064210807,363.51590854644206
